Nearest Ensembl,Gene Name,Gene Type,crel_mouse Best Motif log-odds Score,p65_p50_mouse Best Motif log-odds Score,crel_p50_mouse Best Motif log-odds Score
ENSMUSG00000030016,Zfp638,protein-coding,5.331216,3.092981,2.490033
,A630089N07Rik,ncRNA,4.712068,5.154812,6.495028
ENSMUSG00000036745,Ttll7,protein-coding,6.179433,1.271677,3.586874
ENSMUSG00000021822,Plau,protein-coding,11.539806,3.159807,3.342772
ENSMUSG00000037995,Igsf9,protein-coding,6.10715,7.395807,10.374156
ENSMUSG00000051256,Jagn1,protein-coding,3.727739,1.608969,3.474671
ENSMUSG00000096097,Gm14477,protein-coding,7.653147,4.403967,4.666321
ENSMUSG00000066197,Gpr139,protein-coding,6.10715,2.171263,5.391197
ENSMUSG00000073247,Gm10486,protein-coding,6.176928,7.926489,7.833175
ENSMUSG00000106488,Mir669a-11,ncRNA,5.37187,5.148495,8.104725
ENSMUSG00000041966,Dcaf17,protein-coding,3.089448,2.385964,2.569715
ENSMUSG00000002871,Tpra1,protein-coding,8.556234,5.004493,5.210764
,Txnl4a,protein-coding,0.898102,2.996218,3.715664
ENSMUSG00000035818,Plekhs1,protein-coding,8.556234,2.927807,4.006416
ENSMUSG00000020037,Rfx4,protein-coding,2.198233,1.177002,4.528733
ENSMUSG00000059173,Pde1a,protein-coding,3.046346,2.510395,2.440578
ENSMUSG00000026563,Tada1,protein-coding,1.579085,2.93323,6.06068
ENSMUSG00000102424,Paupar,ncRNA,11.539806,4.139669,3.730363
ENSMUSG00000031981,Capn9,protein-coding,7.655548,2.890472,2.804238
ENSMUSG00000027544,Nfatc2,protein-coding,6.824679,3.564125,3.48937
ENSMUSG00000034773,BC030867,protein-coding,3.048852,3.898301,3.22971
ENSMUSG00000065564,Mirlet7b,ncRNA,5.924097,4.391766,7.863732
ENSMUSG00000079465,Col4a3,protein-coding,5.331216,6.616326,5.412496
ENSMUSG00000026918,Brd3,protein-coding,2.446604,6.701873,6.023371
,6430562O15Rik,ncRNA,5.924097,4.635584,7.865028
ENSMUSG00000055204,Ankrd17,protein-coding,6.824679,4.882401,9.102415
ENSMUSG00000031517,Gpm6a,protein-coding,6.179433,5.630064,5.484614
ENSMUSG00000015702,Anxa9,protein-coding,3.823473,8.516556,8.766016
ENSMUSG00000040265,Dnm3,protein-coding,5.167915,3.146913,4.645896
,Pctp,protein-coding,4.028579,3.16851,2.84667
ENSMUSG00000002944,Cd36,protein-coding,2.499072,4.145586,5.411625
ENSMUSG00000035629,Rubcn,protein-coding,3.782714,3.522111,0.967755
ENSMUSG00000096475,Snord116l1,snoRNA,4.577539,3.513358,3.860194
ENSMUSG00000001642,Akr1b3,protein-coding,8.300898,2.926348,3.94231
ENSMUSG00000030954,Gp2,protein-coding,3.782714,3.361488,4.425328
ENSMUSG00000065449,Mir365-1,ncRNA,4.028579,2.854274,5.019131
ENSMUSG00000040297,Suco,protein-coding,8.300898,1.679556,5.049688
ENSMUSG00000019970,Sgk1,protein-coding,5.604912,2.041837,3.100483
,Il11ra2,protein-coding,11.539806,9.996185,9.551362
ENSMUSG00000036822,Topors,protein-coding,9.991304,3.469868,4.970899
ENSMUSG00000025264,Tsr2,protein-coding,5.331216,4.080192,2.84437
ENSMUSG00000038128,Camk4,protein-coding,3.10132,0.011295,3.694286
ENSMUSG00000025934,Gsta3,protein-coding,8.409224,6.188282,6.33223
ENSMUSG00000052551,Adarb2,protein-coding,6.071002,4.976195,6.752527
,Gm7788,pseudo,1.487717,1.313953,3.94231
ENSMUSG00000060600,Eno3,protein-coding,3.142079,0.820976,2.646814
ENSMUSG00000017412,Cacnb4,protein-coding,5.921591,3.070409,5.815417
ENSMUSG00000034271,Jdp2,protein-coding,2.976569,2.537623,4.123631
ENSMUSG00000031543,Ank1,protein-coding,6.477767,5.1293,4.806972
ENSMUSG00000024647,Cbln2,protein-coding,4.63205,4.093062,5.291977
ENSMUSG00000020524,Gria1,protein-coding,8.409224,8.049622,7.100475
,Gm12657,protein-coding,2.886638,1.574672,2.24904
ENSMUSG00000060227,Casc4,protein-coding,6.860722,5.969456,4.425328
,Gm18409,pseudo,3.782714,1.265487,0.483917
ENSMUSG00000030980,Knop1,protein-coding,1.579085,4.871516,3.400057
ENSMUSG00000002279,Lmf1,protein-coding,3.823368,1.611196,4.066351
ENSMUSG00000019470,Xab2,protein-coding,6.860827,7.728168,8.267524
ENSMUSG00000003153,Slc2a3,protein-coding,0.269177,4.407,2.84671
ENSMUSG00000027184,Caprin1,protein-coding,5.167915,2.62317,6.06068
ENSMUSG00000025357,Dgka,protein-coding,3.992535,6.750926,6.016623
ENSMUSG00000040701,Ap1g2,protein-coding,9.30991,10.527953,9.278516
ENSMUSG00000024542,Cep192,protein-coding,0.82781,5.60878,3.563364
ENSMUSG00000024943,Smc5,protein-coding,3.782714,5.090412,4.134155
ENSMUSG00000062116,Zfp954,protein-coding,5.331216,2.854274,2.774553
ENSMUSG00000094905,Vmn1r155,protein-coding,1.338136,3.218854,4.308641
ENSMUSG00000050912,Tmem123,protein-coding,3.10132,5.861146,5.77275
ENSMUSG00000033544,Angptl1,protein-coding,6.071002,1.526846,2.893825
ENSMUSG00000047257,Prss45,protein-coding,6.858321,2.040378,3.585578
ENSMUSG00000045282,Tmem86b,protein-coding,7.655548,4.156172,2.893825
ENSMUSG00000041846,Smek1,protein-coding,4.525071,0.451905,4.249579
ENSMUSG00000036644,Tbc1d9b,protein-coding,2.446604,3.259682,3.154889
ENSMUSG00000040860,Crocc,protein-coding,3.782714,-0.836423,1.354742
ENSMUSG00000031988,Vps26b,protein-coding,6.752396,2.075904,3.474671
,Gm6878,protein-coding,3.11968,10.017052,9.833809
ENSMUSG00000029554,Mad1l1,protein-coding,6.071002,7.260424,7.851007
ENSMUSG00000031691,Tnpo2,protein-coding,1.540946,4.023764,6.233835
,A630076J17Rik,protein-coding,2.482173,5.787414,6.427163
ENSMUSG00000025815,Dhtkd1,protein-coding,6.860722,5.57645,1.269353
ENSMUSG00000024240,Epc1,protein-coding,3.727739,7.324445,5.745073
ENSMUSG00000007610,Gtpbp3,protein-coding,2.886638,3.88959,4.110314
ENSMUSG00000029047,Pex10,protein-coding,5.577185,0.526226,3.219084
ENSMUSG00000038147,Cd84,protein-coding,4.522565,0.1507,3.277192
ENSMUSG00000030109,Slc6a12,protein-coding,5.425757,3.573918,4.330289
ENSMUSG00000028772,Zcchc17,protein-coding,6.179433,4.076068,5.475553
ENSMUSG00000048562,Sp8,protein-coding,1.581591,2.546808,2.569715
ENSMUSG00000035266,Helq,protein-coding,2.198233,0.573598,3.062608
ENSMUSG00000054087,Fbxw14,protein-coding,5.924097,5.686195,6.692507
ENSMUSG00000044149,Nkrf,protein-coding,3.727739,3.930199,5.349619
ENSMUSG00000031485,Prosc,protein-coding,5.276346,5.043753,8.861422
,Lix1l,protein-coding,1.447063,3.722819,4.183303
ENSMUSG00000023949,Tcte1,protein-coding,10.786129,10.612557,10.874911
ENSMUSG00000057054,Inca1,protein-coding,3.069692,0.102983,5.050984
ENSMUSG00000028800,Hdac1,protein-coding,6.824679,4.976195,5.63219
ENSMUSG00000024050,Wiz,protein-coding,2.092308,-0.353123,2.131782
ENSMUSG00000033409,Syce1l,protein-coding,0.054495,2.152737,3.794453
ENSMUSG00000034164,Emid1,protein-coding,3.163566,1.769592,1.662617
ENSMUSG00000085860,2410003L11Rik,ncRNA,0.82781,3.013353,3.563364
ENSMUSG00000091867,Cyp2a22,protein-coding,6.860827,6.95845,9.712865
,E030003E18Rik,ncRNA,5.371975,7.251959,5.701852
ENSMUSG00000020401,Fam71b,protein-coding,5.276346,11.008164,10.471119
ENSMUSG00000022671,Mzt2,protein-coding,0.543806,0.844675,2.804238
ENSMUSG00000042213,Zfand4,protein-coding,3.046451,0.338056,1.038675
ENSMUSG00000024672,Ms4a7,protein-coding,2.772768,0.512374,3.209326
ENSMUSG00000047969,Olfr1093,protein-coding,9.054574,7.969517,7.709705
ENSMUSG00000024754,Tmem2,protein-coding,1.799907,4.658156,4.916044
ENSMUSG00000039745,Htatip2,protein-coding,3.782714,3.521779,4.690207
ENSMUSG00000031118,1700080O16Rik,protein-coding,3.992535,3.197206,5.870574
,Foxe1,protein-coding,4.525071,3.844712,4.961757
,A430046D13Rik,ncRNA,4.63205,6.075404,8.236967
ENSMUSG00000057417,Dcpp3,protein-coding,6.752396,5.121067,5.574424
ENSMUSG00000060090,Rp2,protein-coding,1.242507,1.431043,2.720225
ENSMUSG00000009569,Mkl2,protein-coding,3.782714,3.722594,6.425866
ENSMUSG00000067722,BC003965,protein-coding,2.198233,4.405054,5.870668
,E230029C05Rik,ncRNA,3.34729,0.373608,2.39902
ENSMUSG00000074440,Defa3,protein-coding,4.673929,2.827497,3.519481
ENSMUSG00000038630,Zkscan16,protein-coding,3.823368,1.466292,3.694286
ENSMUSG00000021759,Plpp1,protein-coding,6.824679,2.547416,3.782471
ENSMUSG00000002985,Apoe,protein-coding,2.47433,6.491723,8.766016
,D930020B18Rik,protein-coding,3.34729,4.829032,5.771454
,Arsi,protein-coding,6.824679,5.843883,5.391197
ENSMUSG00000061022,Vmn1r222,protein-coding,2.886638,4.536053,2.8633
ENSMUSG00000078958,Atp6ap1l,protein-coding,3.10132,1.015981,5.480787
ENSMUSG00000001127,Araf,protein-coding,1.579085,2.152015,1.663913
ENSMUSG00000020640,Itsn2,protein-coding,7.15916,2.997834,3.765423
ENSMUSG00000021670,Hmgcr,protein-coding,4.577539,4.007515,4.197916
ENSMUSG00000024220,Zfp523,protein-coding,6.179329,1.248812,3.782471
ENSMUSG00000095022,Gm20765,protein-coding,6.752396,5.624915,6.421711
ENSMUSG00000035258,Abi3bp,protein-coding,3.141975,4.143598,1.642363
ENSMUSG00000031232,Magt1,protein-coding,4.026178,2.191521,5.468078
ENSMUSG00000070047,Fat1,protein-coding,2.347644,4.606031,4.32741
ENSMUSG00000052917,Senp7,protein-coding,5.278747,5.104378,6.474829
ENSMUSG00000055762,Eef1d,protein-coding,3.10132,0.504983,-0.192441
ENSMUSG00000066595,Mfsd7b,protein-coding,9.237627,6.512864,9.102415
ENSMUSG00000015340,Cybb,protein-coding,6.752396,-0.435242,5.049688
ENSMUSG00000021431,Snrnp48,protein-coding,9.054574,1.169754,5.050984
ENSMUSG00000039956,Mrap,protein-coding,1.581486,3.323414,5.036963
ENSMUSG00000049593,Lce1h,protein-coding,4.63205,7.673423,7.610014
ENSMUSG00000048924,Ccdc125,protein-coding,6.10715,4.680101,6.308704
ENSMUSG00000050947,Amigo1,protein-coding,5.331216,2.115613,4.647192
ENSMUSG00000052613,Pcdh15,protein-coding,2.444203,5.580037,5.412496
ENSMUSG00000087203,Gm13986,ncRNA,3.083548,7.704781,9.169808
ENSMUSG00000073130,Gm1141,ncRNA,3.10132,0.715283,2.179878
ENSMUSG00000028641,P3h1,protein-coding,5.577185,3.294834,2.93721
ENSMUSG00000014852,Adamts13,protein-coding,6.860722,4.241718,6.128073
ENSMUSG00000096380,Gm19668,protein-coding,11.539806,3.80814,6.022074
ENSMUSG00000029467,Atp2a2,protein-coding,7.655653,6.279203,6.804711
ENSMUSG00000024448,H2-M10.1,protein-coding,6.858321,8.366331,8.79226
ENSMUSG00000034039,Prss29,protein-coding,8.300898,6.055003,6.128073
,Gm13285,protein-coding,3.347185,5.631523,6.263068
,Gclm,protein-coding,3.691696,2.51252,2.806406
ENSMUSG00000086209,4933405E24Rik,ncRNA,5.371975,6.515371,4.779489
ENSMUSG00000030004,Nat8,protein-coding,0.032984,0.784137,1.10431
ENSMUSG00000096194,Gm2799,protein-coding,9.054574,3.245354,3.625124
ENSMUSG00000018761,Mpdu1,protein-coding,3.878374,6.357684,7.468711
ENSMUSG00000011114,Tbrg1,protein-coding,5.167915,6.701873,5.008704
ENSMUSG00000095621,Gm15085,protein-coding,9.054574,10.592597,10.074802
ENSMUSG00000032334,Loxl1,protein-coding,1.447063,5.279033,5.647412
ENSMUSG00000047787,Flrt1,protein-coding,1.487717,4.329749,6.022074
ENSMUSG00000024052,Lpin2,protein-coding,3.782714,2.401462,5.643586
,l7Rn6,protein-coding,4.618194,3.626972,4.666321
ENSMUSG00000025059,Gk,protein-coding,5.371975,3.249529,7.416081
ENSMUSG00000062760,1810041L15Rik,protein-coding,9.30991,3.301181,5.307187
ENSMUSG00000008028,1700008O03Rik,protein-coding,3.142079,7.459555,7.833175
ENSMUSG00000044934,Zfp367,protein-coding,2.976569,3.323414,3.563364
ENSMUSG00000048701,Ccdc6,protein-coding,2.347644,3.884901,4.355577
ENSMUSG00000064267,Hvcn1,protein-coding,9.991304,5.830632,3.765423
ENSMUSG00000028252,Ccnc,protein-coding,6.860827,6.687704,7.096299
ENSMUSG00000035517,Tdrd7,protein-coding,5.057004,1.959929,6.737318
ENSMUSG00000086429,Gt(ROSA)26Sor,ncRNA,7.655653,8.828424,8.928815
ENSMUSG00000013997,Nit1,protein-coding,3.958392,3.801923,4.79597
ENSMUSG00000028152,Tspan5,protein-coding,8.409329,6.64839,9.712865
ENSMUSG00000021936,Mapk8,protein-coding,3.727844,6.366569,7.100475
ENSMUSG00000022548,Apod,protein-coding,5.604912,5.479144,5.466876
ENSMUSG00000049687,Fam109b,protein-coding,6.179433,3.137483,5.323804
ENSMUSG00000038481,Cdk19,protein-coding,0.692891,5.050344,4.099374
ENSMUSG00000001786,Fbxo7,protein-coding,3.878374,6.71367,8.532498
ENSMUSG00000033554,Dph5,protein-coding,8.556234,6.783038,7.317211
ENSMUSG00000019990,Pde7b,protein-coding,3.029037,2.006215,4.425328
ENSMUSG00000022312,Eif3h,protein-coding,1.447063,5.065917,6.407098
ENSMUSG00000029422,Rsrc2,protein-coding,4.577539,4.169041,3.92507
ENSMUSG00000062040,Zfp27,protein-coding,3.727739,5.364579,5.24362
ENSMUSG00000085619,4930555B12Rik,ncRNA,3.782714,4.819239,8.45763
ENSMUSG00000047187,Rab2a,protein-coding,5.371975,-0.215876,5.050984
ENSMUSG00000020160,Meis1,protein-coding,3.10132,3.236408,3.188702
ENSMUSG00000098726,Mir6417,ncRNA,2.886638,4.5176,6.135548
,Pias4,protein-coding,6.10715,4.100409,6.563717
ENSMUSG00000052102,Gnpda1,protein-coding,5.37187,7.962616,8.391354
ENSMUSG00000041119,Pde9a,protein-coding,5.923992,3.173976,5.54818
ENSMUSG00000019961,Tmpo,protein-coding,4.851235,5.181576,6.496325
ENSMUSG00000079009,Gm14139,protein-coding,6.071002,6.825493,5.466876
ENSMUSG00000071771,Rhox4b,protein-coding,3.069692,2.929732,1.952796
ENSMUSG00000020681,Ace,protein-coding,9.237627,1.081722,5.291977
ENSMUSG00000060002,Chpt1,protein-coding,3.782714,6.452116,6.692507
ENSMUSG00000034509,Mad2l1bp,protein-coding,10.786129,6.180369,8.508517
,1110038F14Rik,protein-coding,4.375595,9.655624,10.230126
ENSMUSG00000039716,Dock3,protein-coding,3.694097,4.765648,5.904912
ENSMUSG00000021936,Mapk8,protein-coding,3.344784,3.791435,4.767711
ENSMUSG00000084728,Mir1905,ncRNA,2.133067,4.780046,3.517103
ENSMUSG00000024960,Plcb3,protein-coding,6.860722,5.969456,6.531865
ENSMUSG00000043614,Vps37d,protein-coding,4.028579,7.804656,6.9335
ENSMUSG00000089862,Umad1,protein-coding,3.782714,3.484036,4.021536
ENSMUSG00000023845,Lnpep,protein-coding,2.347644,1.920669,3.539912
,Npffr1,protein-coding,3.992535,2.726848,7.012289
,AI646519,ncRNA,6.179329,4.501273,4.633171
ENSMUSG00000096276,Gm2042,protein-coding,-0.723093,-0.241999,-0.192534
ENSMUSG00000070323,Mmp27,protein-coding,9.30991,5.832296,5.740898
,Zfp689,protein-coding,9.237627,6.741134,8.698623
ENSMUSG00000034563,Ccpg1,protein-coding,5.276241,5.174772,4.425328
ENSMUSG00000038175,Mylip,protein-coding,7.506072,5.124765,6.399623
ENSMUSG00000040726,Hesx1,protein-coding,2.886743,3.323414,4.647192
ENSMUSG00000054893,Zfp667,protein-coding,5.425757,3.478578,7.416081
ENSMUSG00000022440,C1qtnf6,protein-coding,5.57468,1.925791,4.067648
ENSMUSG00000026944,Abca2,protein-coding,5.170421,4.814704,7.60397
ENSMUSG00000039652,Cpeb3,protein-coding,5.577081,2.632566,6.464472
ENSMUSG00000029064,Gnb1,protein-coding,6.860827,9.293344,9.712865
ENSMUSG00000072235,Tuba1a,protein-coding,9.054574,3.5161,3.183082
ENSMUSG00000028524,Sgip1,protein-coding,8.406823,3.417369,6.023371
ENSMUSG00000063434,Sorcs3,protein-coding,4.851235,5.629091,7.657075
ENSMUSG00000035429,Ptprh,protein-coding,3.694202,7.374761,8.369699
,Kcnmb4,protein-coding,9.30991,6.655587,5.579496
ENSMUSG00000038615,Nfe2l1,protein-coding,6.071002,4.396318,5.036963
ENSMUSG00000031938,4931406C07Rik,protein-coding,2.940525,4.971863,3.887867
ENSMUSG00000036770,4933433C11Rik,protein-coding,8.406823,3.960809,5.208316
ENSMUSG00000030034,Ino80b,protein-coding,0.375519,2.266351,5.019131
ENSMUSG00000056696,Olfr1350,protein-coding,3.782714,3.052614,3.730363
ENSMUSG00000056946,Olfr512,protein-coding,9.30991,5.836471,6.912122
ENSMUSG00000096717,Vmn2r98,protein-coding,4.577539,4.508228,5.888406
ENSMUSG00000024041,Cryaa,protein-coding,8.409329,7.942819,9.714161
ENSMUSG00000061313,Ddhd2,protein-coding,4.028683,2.376529,5.564797
ENSMUSG00000073257,Gm10488,protein-coding,7.506072,7.926489,7.833175
ENSMUSG00000034917,Tjp3,protein-coding,3.823473,5.366038,6.495028
,Gm4724,protein-coding,3.347185,2.154392,2.429576
ENSMUSG00000015957,Wnt11,protein-coding,5.425757,6.05681,7.317211
ENSMUSG00000031840,Rab3a,protein-coding,3.782714,4.836475,6.159925
ENSMUSG00000070705,Eid2b,protein-coding,5.577081,6.582198,6.699982
ENSMUSG00000020811,Wscd1,protein-coding,3.046451,4.947495,4.699349
ENSMUSG00000023861,Mpc1,protein-coding,2.474435,3.166125,3.499553
ENSMUSG00000073396,Esp1,protein-coding,4.712068,4.101797,6.013743
ENSMUSG00000074657,Kif5a,protein-coding,6.860827,6.946998,7.096299
,5031434C07Rik,ncRNA,5.331216,3.754942,6.179421
ENSMUSG00000074212,Dnajb14,protein-coding,5.425757,3.147274,4.616918
,Cyp2d13,pseudo,6.071002,3.297535,2.847966
,BB019430,ncRNA,3.621814,0.525653,3.030274
ENSMUSG00000037370,Enpp1,protein-coding,3.878374,11.180453,10.096457
ENSMUSG00000042292,Mkl1,protein-coding,4.525071,0.550341,3.33186
ENSMUSG00000015217,Hmgb3,protein-coding,2.402155,10.241566,10.237601
ENSMUSG00000021848,Otx2,protein-coding,3.163566,2.260976,4.615339
ENSMUSG00000020097,Sgpl1,protein-coding,4.028579,0.759129,3.345178
ENSMUSG00000027086,Fastkd1,protein-coding,3.782714,4.844751,6.400919
ENSMUSG00000074247,Dda1,protein-coding,1.540946,0.797026,5.951972
ENSMUSG00000019935,Slc17a8,protein-coding,2.200739,2.571368,3.395882
,Gm2083,protein-coding,3.029037,1.776353,5.815417
ENSMUSG00000027312,Atrn,protein-coding,5.170421,3.5161,7.60397
ENSMUSG00000028522,Mier1,protein-coding,8.406823,8.079199,8.104725
,Lgals6,protein-coding,2.482173,0.105577,1.801295
ENSMUSG00000045463,Slco6b1,ncRNA,6.071002,0.373608,0.749319
ENSMUSG00000063522,2010109I03Rik,protein-coding,6.10715,4.256046,6.563717
ENSMUSG00000046229,Scand1,protein-coding,8.556234,2.926348,3.419791
ENSMUSG00000090897,Esp6Esp5,protein-coding,2.539727,0.74986,3.504275
ENSMUSG00000025933,Tmem14a,protein-coding,4.37549,6.0341,7.328151
ENSMUSG00000006699,Cdc42,protein-coding,5.170421,2.468359,6.159925
ENSMUSG00000027674,Pex5l,protein-coding,6.858321,5.061741,7.012289
,Ppp1r2-ps3,pseudo,4.522565,4.814113,4.987404
ENSMUSG00000029699,Ssc4d,protein-coding,4.028579,7.2416,4.779489
ENSMUSG00000031139,Mcf2,protein-coding,5.170316,8.071226,8.378841
,Spdye4c,protein-coding,2.974063,0.103314,3.202578
ENSMUSG00000097065,A630075F10Rik,ncRNA,2.886638,3.784158,3.32237
ENSMUSG00000051232,Tmem199,protein-coding,4.028579,2.89397,6.06068
ENSMUSG00000031901,Dus2,protein-coding,3.163566,2.827497,1.079299
,Gm6961,ncRNA,1.297482,4.333824,2.046053
ENSMUSG00000035342,Lzts2,protein-coding,5.604912,3.054301,4.99488
ENSMUSG00000098961,Mir6949,ncRNA,8.409329,6.64839,9.712865
ENSMUSG00000051361,6030498E09Rik,protein-coding,7.506072,5.124765,2.440578
ENSMUSG00000063216,Olfr1351,protein-coding,5.331216,4.826637,6.092533
ENSMUSG00000014074,Rnf168,protein-coding,5.278747,4.439409,3.920895
ENSMUSG00000032366,Tpm1,protein-coding,4.028579,1.022423,1.496212
ENSMUSG00000028010,Gar1,protein-coding,7.15916,-2.761396,1.077721
ENSMUSG00000025347,Mettl7b,protein-coding,5.278747,7.062489,7.458514
ENSMUSG00000015143,Actn1,protein-coding,11.539806,6.180369,8.508517
ENSMUSG00000049985,Ankrd55,protein-coding,7.15916,2.849585,2.621011
ENSMUSG00000087444,Gm5475,ncRNA,7.15916,5.191002,5.753411
ENSMUSG00000092837,Rpph1,ncRNA,4.028579,5.730721,8.698623
ENSMUSG00000027907,S100a11,protein-coding,3.089448,4.3701,4.198245
ENSMUSG00000051314,Ffar2,protein-coding,3.029037,7.790328,8.766016
ENSMUSG00000002768,Mea1,protein-coding,5.371975,4.324115,5.244917
ENSMUSG00000028977,Casz1,protein-coding,8.300898,8.251072,4.91087
ENSMUSG00000049152,Ugt3a2,protein-coding,4.851235,3.323414,3.563364
ENSMUSG00000030167,Klrc1,protein-coding,8.707662,5.031132,4.006416
ENSMUSG00000021536,Adcy2,protein-coding,4.028579,3.970447,3.177474
ENSMUSG00000027999,Pla2g12a,protein-coding,2.772768,0.105577,1.858261
ENSMUSG00000022568,Scrib,protein-coding,8.409329,5.59919,6.317845
ENSMUSG00000057666,Gapdh,protein-coding,5.425757,6.05681,7.317211
ENSMUSG00000057349,Olfr948,protein-coding,3.029037,-0.268763,1.113749
ENSMUSG00000062609,Kcnj15,protein-coding,6.860827,9.289168,8.54164
ENSMUSG00000095957,Olfr832,protein-coding,4.851235,2.506203,3.504275
ENSMUSG00000002808,Epdr1,protein-coding,3.782714,4.674845,7.260758
,4930486F22Rik,ncRNA,4.618299,6.513643,5.411625
ENSMUSG00000027274,Mkks,protein-coding,3.823473,2.05358,2.179878
ENSMUSG00000060301,2610008E11Rik,protein-coding,2.499072,3.638556,3.6101
ENSMUSG00000057098,Ebf1,protein-coding,9.991304,3.109297,3.100483
ENSMUSG00000099872,1700074H08Rik,ncRNA,3.782714,3.323414,3.563364
ENSMUSG00000044499,Hs3st5,protein-coding,6.104645,0.613329,2.926853
,Grem1,protein-coding,8.409329,13.609628,11.91646
ENSMUSG00000069044,Usp9y,protein-coding,2.976569,7.109276,4.165471
,Gm14308,protein-coding,3.347185,2.154392,2.429576
ENSMUSG00000060397,Zfp128,protein-coding,3.782714,0.105577,1.108711
ENSMUSG00000078673,Mup19,protein-coding,3.029037,1.776353,5.815417
ENSMUSG00000092607,Scnm1,protein-coding,8.406823,6.7176,6.937676
ENSMUSG00000023262,Acy1,protein-coding,4.525071,3.846112,6.736022
ENSMUSG00000076126,Mir669b,ncRNA,3.782714,-2.137534,-1.158902
ENSMUSG00000023791,Pigx,protein-coding,1.720654,4.475607,3.726163
ENSMUSG00000032295,Man2c1,protein-coding,6.10715,2.938848,7.012289
ENSMUSG00000024981,Acsl5,protein-coding,9.30991,2.602016,2.910236
ENSMUSG00000070687,Htr1d,protein-coding,3.823473,2.700124,6.637628
ENSMUSG00000032174,Icam5,protein-coding,2.940525,1.080302,4.961757
ENSMUSG00000021712,Trim23,protein-coding,3.142079,10.320573,8.786808
ENSMUSG00000027496,Aurka,protein-coding,4.618194,4.661802,3.887867
ENSMUSG00000021228,Acot3,protein-coding,4.37549,1.733898,5.54818
,Kbtbd12,protein-coding,8.409329,13.609628,11.91646
ENSMUSG00000037996,Slc24a2,protein-coding,3.069796,1.687458,5.170632
